,A1112Amp,A1112Dist,A14Amp,A14Dist,A15Amp,A15Dist,A16Amp,A16Dist,2004Class
1619,1.0,1668.704437353357,3.0,1566.0954484581505,3.0,484.332478133301,,,257
1621,1.0,934.3114544532666,2.2,1082.755867275467,,,,, 21
1622,2.0,549.8567450287387,5.0,677.3216861147707,2.8,1735.3889602559027,,,  1
1623,1.0,2402.414942824976,5.0,2250.0363035603627,2.0,1348.8196631741084,,,  7
1627,0.5,1551.407079422076,,,1.5,445.34439999863883,,,238
1628,0.8,549.8567450287387,2.8,677.3216861147707,,,,,  1
1629,1.2,1006.0717324490676,4.0,1102.554149181838,1.2,2189.800753774467,,, 14
1631,3.8,549.8567450287387,13.5,677.3216861147707,2.5,1735.3889602559027,,,  1
1634,,,3.0,1786.9727214741347,2.0,831.7180823849789,,, 19
1644,0.5,549.8567450287387,1.8,677.3216861147707,,,,,  1
1651,0.5,842.088174386005,2.0,924.3137333541894,1.0,963.8992622762619,,, 20
1652,,,2.0,2608.956222497297,1.2,1516.3216047822193,,, 29
1654,1.0,1097.267878756044,3.0,1162.2868938358101,,,,, 10
1655,1.0,144.48503270329255,3.0,97.95484770451591,,,,,  9
1662,,,1.5,1994.1242089447417,1.0,1090.245150152052,,, 32
1667,0.5,574.0461203248836,1.0,443.58363033572687,0.5,663.79669832828,,, 34
1668,0.5,2434.4928048998154,2.0,2267.4583454562526,1.0,1498.8651754037573,,,114
1669,0.5,2614.2755280251704,1.2,2479.4244849348515,1.0,1472.6260607110266,,, 25
1672,1.5,719.4627676070183,1.0,804.5218798966646,,,,,  8
1676,0.9,719.4627676070183,1.0,804.5218798966646,,,,,  8
1679,0.5,719.4627676070183,1.0,804.5218798966646,,,,,  8
1680,0.5,1074.3728928151183,1.5,912.5748282346112,,,,, 28
1685,1.4,719.4627676070183,3.5,804.5218798966646,1.0,1895.5879126048198,,,  8
1689,1.0,954.3050495410989,3.0,794.8518173976855,1.5,569.3487500444492,,, 16
1690,,,3.0,1380.8120552384742,2.0,472.0309688537597,,, 27
1693,0.7,653.30675738881,2.5,570.2061076093618,,,,, 39
1696,0.7,653.30675738881,3.0,570.2061076093618,,,,, 39
1697,,,1.0,4046.7388948557123,0.8,3256.628836402621,,, 33
1699,0.6,1097.267878756044,1.0,1162.2868938358101,0.3,2255.461969591371,,, 10
1701,0.75,1291.2085230449711,2.2,1126.710784742059,1.0,649.5966619871048,,, 11
1704,0.5,1511.2982351831854,2.1,1691.2321681991211,,,,,218
1705,1.0,719.4627676070183,2.6,804.5218798966646,,,,,  8
1708,0.8,2549.7195740642705,2.5,2435.240597670518,,,,,  6
1710,0.6,2143.051202602794,2.0,1994.1242089447417,,,,, 32
1711,0.8,1258.687624261008,2.5,1179.9082713957582,,,,,201
1714,0.8,1838.5458791312662,2.5,1692.4027018140391,,,,, 18
1717,0.6,1511.2982351831854,1.5,1691.2321681991211,,,,,218
1718,1.0,899.4630727618554,2.8,1073.8939780272624,,,,, 49
1719,1.0,1838.5458791312662,3.1,1692.4027018140391,2.0,804.1570903484545,,, 18
1722,1.0,317.90830190962333,3.0,497.15585756651757,2.0,1424.4464334183172,,,276
1724,1.0,1007.5612677650595,3.5,871.8500322841985,2.5,361.05321131501654,,, 26
1727,0.8,2045.389903389427,3.0,1871.5801342738303,,,,, 38
1728,1.25,2045.389903389427,4.0,1871.5801342738303,3.0,1270.372700860589,,, 38
1729,1.25,2549.7195740642705,4.0,2435.240597670518,1.5,1369.758304941024,,,  6
1730,1.5,1838.5458791312662,5.5,1692.4027018140391,4.0,804.1570903484545,,, 18
1731,1.0,2121.004106107566,,,2.0,1113.2463878912267,,, 22
