,A1112Amp,A1112Dist,A14Amp,A14Dist,A15Amp,A15Dist,A16Amp,A16Dist,2004Class
2068,1.0,1202.5217589968404,2.0,1152.1176029935252,,,,,243
2073,1.5,1514.6089383157887,6.0,1446.5434140342634,2.5,1073.4525491012207,,, 18
2075,,,2.0,1335.247282332269,0.5,1042.0063212251732,,,246
2076,,,2.2,1586.4065298954129,0.8,1128.9791034293028,,, 22
2077,,,2.0,1421.4026752658374,0.5,1104.7200027617594,,,257
2091,0.5,949.7916991414554,2.5,989.3076197735427,1.0,1463.2142221322088,,,  1
2094,1.0,1365.852711818084,1.8,1301.0056776028398,,,,,238
2095,0.2,1562.983986512882,1.4,1532.499377176931,,,,, 37
2100,0.5,949.7916991414554,1.2,989.3076197735427,,,,,  1
2106,,,1.5,1421.4026752658374,1.0,1104.7200027617594,,,257
2115,1.0,949.7916991414554,2.2,989.3076197735427,1.2,1463.2142221322088,,,  1
2116,1.0,1870.014156709378,2.5,1815.1210692352513,3.0,1275.6256229829328,,,  6
2119,,,1.5,1237.4403696450352,1.0,895.9964926582402,,,223
2121,,,2.0,802.5833444960475,1.5,1284.5887269529028,,,216
2176,1.0,1228.2194962666015,2.2,1191.4342870106414,,,,,201
2181,1.0,1100.5369679217902,2.0,1128.9822561429787,1.0,1142.5976465233439,,, 20
2182,1.0,1848.3258610224625,1.5,1815.6828612027005,1.5,1406.8016229228533,,, 29
2191,1.0,1016.7786668636286,3.2,1056.790105328364,,,,, 30
2192,1.5,1041.0517511100472,4.0,1038.8660552182653,,,,,  9
2206,1.2,1041.0517511100472,3.5,1038.8660552182653,,,,,  9
2207,1.0,1868.980093986746,2.0,1809.7652698140805,,,,, 25
2210,1.0,1268.325516080846,2.2,1234.008885866761,,,,, 26
2212,1.0,1870.014156709378,2.0,1815.1210692352513,,,,,  6
2214,1.0,1042.5697576604264,4.0,1014.5476921460248,3.0,1065.509458309826,,, 34
2216,,,1.0,1038.8660552182653,2.0,1275.0951242119004,,,  9
