,Year,DOY,StartTime,StopTime,A1112Amp,A14Amp,A15Amp,A16Amp,Availability,Quality,Comments,EventType,DeepClass,2004Class
270,70,113,2345,55.0,9.5,,,,2,,,C,,
271,70,114,1628,1642.0,1.0,,,,2,,,,,A  4
272,70,114,2151,2210.0,1.0,,,,2,,,,,A 41
273,70,115,114,220.0,8.5,,,,2,,,C,,
274,70,116,303,9999.0,1.0,,,,2,,,,,A219
275,70,116,316,325.0,1.0,,,,2,,,,,
276,70,116,754,9999.0,1.5,,,,2,,,A,07,A  7
277,70,116,830,850.0,1.0,,,,2,,,,,A 38
278,70,116,1009,1024.0,1.0,,,,2,,,,,A  6
279,70,116,1429,9999.0,7.0,,,,2,,,A,01,A  1
280,70,116,1512,1556.0,4.0,,,,2,,,A,06,A  6
281,70,116,2041,2100.0,1.0,,,,2,,,,,A 65
282,70,117,423,450.0,1.0,,,,2,,,M,,A304
283,70,117,1002,1030.0,1.0,,,,2,,,,,A 21
284,70,117,2135,2150.0,1.0,,,,2,,T?,,,A  5
285,70,118,226,250.0,1.5,,,,2,,,A,14,A 14
286,70,118,1048,1115.0,1.5,,,,2,,,A,01,A  1
287,70,118,1413,1450.0,1.0,,,,2,,,,,
288,70,119,458,510.0,1.0,,,,2,,,,,
289,70,119,1836,1906.0,1.5,,,,2,,,,,
290,70,120,253,330.0,5.0,,,,2,,,A,01,A  1
291,70,120,627,644.0,1.0,,,,2,,,,,A 64
292,70,121,311,338.0,1.0,,,,2,,,,,
293,70,121,630,650.0,0.5,,,,2,,,,,
294,70,121,841,858.0,1.0,,,,2,,,,,
295,70,123,1000,1025.0,1.0,,,,2,,,,,
296,70,123,1130,1155.0,1.0,,,,2,,,,,
297,70,125,1228,1245.0,1.0,,,,2,,,,,A  6
298,70,127,1156,1215.0,1.0,,,,2,,,,,A201
299,70,129,1605,1624.0,1.0,,,,2,,,,,A205
300,70,130,1704,1728.0,1.0,,,,2,,,,,A301
301,70,131,140,,-1.0,,,,,,,,,A 10
302,70,131,706,723.0,1.5,,,,2,,,A,09,A  9
303,70,131,855,920.0,2.0,,,,2,,,A,02,A  2
304,70,132,351,410.0,1.0,,,,2,,,,,A  8
305,70,132,1322,1340.0,1.0,,,,2,,,,,A216
306,70,132,1608,1620.0,0.5,,,,2,,,,,
307,70,133,1146,1212.0,1.0,,,,2,,,,,A  1
308,70,133,1400,1425.0,1.0,,,,2,,,,,A208
309,70,134,359,430.0,2.0,,,,2,,,A,08,A  8
310,70,134,508,515.0,1.0,,,,2,,,,,A 10
311,70,134,943,1005.0,1.0,,,,2,,,,,A206
312,70,134,2130,2205.0,1.0,,,,2,,,A,12,A 12
313,70,135,456,538.0,1.0,,,,2,,,,,
314,70,135,654,715.0,1.0,,,,2,,,,,
